Club,Description,Category
Afghanistan Student Union at the University of Washington,"The Afghanistan Student Union(ASU) fosters a vibrant community that celebrates Afghanistan’s culture,heritage,and leadership. We unite Afghanistan students, inspire collaboration, and empower individuals to honor our roots while shaping a brighter future",Service/Volunteer
African Caribbean Student Association,African Caribbean Student Association is an organization to welcome all African and Caribbean students on campus. We strive to Promotion cultural exchange within different African and Caribbean national and cultural groups as well as educate.,Cultural/Identity
African Youth Research Program,African Youth Research Program is a group with the mission to empower young African students to create academic and research opportunities that provide attainable solutions for issues facing their communities and the African continent.,Academic
Africans in Medicine,Africans in Medicine is a support system academically and socially for Africans students at UW who are looking to go into the medical field. We provide a space to share stories and experiences and to promote professional development as future leaders.,Pre-Health/Medical
AI & Data Analytics Club,"The AI & Data Analytics Club equips Foster MBAs with essential AI and data skills through recruitment prep, academic guidance, industry networking, and curated resources—empowering students to lead in the AI-driven business landscape.",Engineering/Tech
AI Alignment at the University of Washington,AI Alignment at UW aims to facilitate discourse and research on the AI alignment problem: the problem of making controllable AI systems.,Academic
AIESEC in Seattle,AIESEC is as an international platform for students to develop their leadership potential by facilitating international exchanges between 120+ countries & territories in the form of internships and volunteer experiences.,Professional Development
Algorithmic Trading Club,"The Algorithmic Trading Club is a collaborative community for students who are interested in the financial market, learning computational skills in finance and risk management, all the while exploring professional networks.",Business/Entrepreneurship
Allen School Student Advisory Council,"The Allen School Student Advisory Council (SAC) serves as the collective voice of undergraduate and master's students. We work with advisers, staff, and faculty, and other students to create long-term change in the Allen School.",General Interest
Alliance for Disability Law & Justice,"The Alliance for Disability Law and Justice (ADLJ) at UW Law advocates for a more inclusive, accessible, and holistic approach to law school from a foundation of anti-racism, intersectionality, and anti-ableism.",Political/Activism
Alliance for Equal Representation in Medicine,The mission of AFERM is to promote diversity within the University of Washington School of Medicine (UWSOM) for the purpose of providing culturally competent and representative future physicians for all patients and communiti,Pre-Health/Medical
Alpha Chi Omega,"The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service.",Greek Life
Alpha Delta Phi Fraternity,"The objectives of THE ALPHA DELTA PHI are the cultivation of character, learning, and enduring friendships.",Greek Life
Alpha Delta Pi,Alpha Delta Pi is the first secret society for women. Providing women with a well rounded college experience.,Greek Life
Alpha Epsilon Delta Pre-Health Honor Society,"The Washington Beta Chapter of Alpha Epsilon Delta is a Pre-Health Honor Society, focused on providing resources to support students on their path to a healthcare profession.",Greek Life
Alpha Epsilon Pi Chi Deuteron Chapter,"To provide a Fraternity experience for young Jewish men on campus, an experience of both academic and social balance, in hopes of developing the next leaders of tomorrow.",Greek Life
Alpha Gamma Delta,"Alpha Gamma Delta is an international women's fraternity that promotes academic excellence, philanthropic giving, ongoing leadership and personal development and above all, a spirit of loving sisterhood. Guided by our Purpose",Greek Life
"Alpha Kappa Alpha Sorority, Incorporated- Beta Theta Chapter","To cultivate and encourage high scholastic and ethical standards, promote unity and friendship , study and help alleviate problems concerning girls and women in order to improve their social stature and be of service to all mankind.",Greek Life
alpha Kappa Delta Phi at University of Washington,"Our mission is to provide sisterhood among women, while promoting scholarship, leadership and Asian awareness in the university and community.",Greek Life
Alpha Kappa Psi Business Fraternity,"Our goal is to bring together students who share an interest in business and provide them with opportunities to learn and grow through professional development, philanthropy, social events, and more.",Greek Life
"Alpha Omega Alpha Medical Honor Society, UW Chapter",National Honor Medical Society for MD candidates. Its purpose is to recognize and perpetuate excellence in the medical profession.,Greek Life
Alpha Omega Campus Ministry,The purpose of this organization is to create a fun and safe environment for students to fellowship and discuss Christianity and the Bible. Alpha Omega is a college ministry of the Seattle Church of Christ.,Religious/Spiritual
Alpha Phi,"Alpha Phi is an organization dedicated to promoting sisterhood, cultivating leadership, encouraging intellectual curiosity, and advocating service among its members.",Greek Life
Alpha Phi Alpha Fraternity Incorporated,"ALPHA PHI ALPHA FRATERNITY, INC. DEVELOPS LEADERS, PROMOTES BROTHERHOOD AND ACADEMIC EXCELLENCE, WHILE PROVIDING SERVICE AND ADVOCACY FOR OUR COMMUNITIES.",Greek Life
Alpha Phi Omega - Gamma Alpha,"The UW Chapter of Alpha Phi Omega (a national co-ed service fraternity) is dedicated to fostering leadership, friendship, and service in our members so as to develop as servant leaders in the community.",Greek Life
Alpha Sigma Phi,"On Saturday, December 6, 1845, three young men sat down in a small room at Yale College and created a fraternal society based on high moral values and centered on the concept of brotherhood. To Better the Man!",Greek Life
Alpha Theta Delta,We're a co-ed professional design fraternity. We welcome anyone with an interest in creative work or design to develop our professional network between student creatives and designers in relevant fields to create a welcoming design community.,Greek Life
Alphorn Club at the University of Washington,A club dedicated to those who want to learn how to play and learn more about the Alphorn!,Hobbies/Interest
Amana Relief,"The purpose of Amana Relief is to support struggling communities of Muslims around the world through fundraisers, social events, and educational campaigns. The organization aims to raise funds for humanitarian aid, increase awareness of global challenges",International/Global
Amateur Radio Club at the University of Washington,"Our organization aims to foster and maintain community among Amateur (Ham) Radio enthusiasts and hobbyists affiliated with UW and in the broader Seattle area. Our mission is to learn, practice, and teach radio-related knowledge and skills.",Hobbies/Interest
"American Academy of Developmental Medicine and Dentistry, University of Washington Chapter",Our mission is to improve the quality of healthcare for individuals with neurodevelopmental disorders and intellectual disabilities. The most valuable contribution we can make is to contribute our expertise where it will have an impact.,Pre-Health/Medical
American Association of Airport Executives - University of Washington Chapter,The American Association of Airport Executives (AAAE) is a student chapter at UW that is focused on promoting networking with airport professionals and learning about the airports in the Seattle Metropolitan Area through site visits.,Professional Development
"American Association of Psychiatric Pharmacists, University of Washington Collegiate Chapter",The AAPP UW Collegiate Chapter will exist to encourage all student pharmacists to become more knowledgeable about the profession of psychiatric and neurologic pharmacy.,Pre-Health/Medical
American Association of Women Dentists UW Chapter,"The American Association of Women Dentists UW Chapter aims to uplift women in dentistry by holding networking events, women’s history month events, and lunch &amp; learns to highlight some of the impactful women in our local dental community.",Pre-Health/Medical
American Cancer Society On Campus,"Work with the American Cancer Society non-profit to spread cancer awareness to our campus and local community through various events and plan the ACS fundraiser, Relay for Life at UW.",Engineering/Tech
American Concrete Institute UW Student Chapter,We are a team of students representing the University of Washington in biannual concrete competitions at the ACI conventions. Our team is eager to learn more about concrete and the construction industry.,General Interest
American Constitution Society,The American Constitution Society (ACS) believes that law should be a force to improve the lives of all people. ACS works for positive change by shaping debate on vitally important legal and constitutional issues.,General Interest
American Dental Education Association - Chapter at University of Washington School of Dentistry,Improve oral health care through student involvement in the advancement of dental education and research,Academic
American Fisheries Society University of Washington Student Chapter,"This subunit aims to provide access to resources such as mentor/mentee opportunities, travel and research funding, professional development workshop, and more, to undergrads and graduate students while encouraging participation in the larger AFS society.",Professional Development
American Indian Science and Engineering Society-UW Chapter,The mission of the American Indian Science and Engineering Society (AISES)-UW is to substantially increase the representation of indigenous peoples in North America in STEM studies and careers. We aim to combine traditional native values with STEM fields,Engineering/Tech
"American Institute of Aeronautics and Astronautics at UW, Student Branch",The Objective of this organization is to further the purposes and programs of the American Institute of Aeronautics and Astronautics at the University of Washington.,General Interest
American Institute of Architecture Students - UW Chapter,The American Institute of Architecture Students at the University of Washington is a student-run organization that promotes professional development and strives to create a network of students to collectively learn more about,Professional Development
American Institute of Chemical Engineers UW Student Chapter,"The American Institute of Chemical Engineers is an organization aimed to highlight the network of chemical engineers in industry in professional growth, international relations to expand ideas, and cultivate a welcoming and social environment for all.",Professional Development
"American Marketing Association, UW Chapter","To unleash the potential of students by providing them with marketing-related resources to develop a future professional career while attending college. We cultivate students’ passion for marketing, foster relationships with professional endeavors.",Professional Development
American Medical Women's Association - UW Branch,"The American Medical Women's Association is an organization which functions at the local, national, and international level to advance women in medicine and improve women's health.",Pre-Health/Medical
American Medical Women's Association at UWSOM Graduate,"Graduate medical student interest group for those invested in women's health, equity and professional development.",Pre-Health/Medical
American Meteorological Society Student Chapter at the UW,"The purpose of the AMS at UW is to promote the education of the atmospheric and related sciences as well as to provide an environment where persons interested in such can share experiences through social, volunteer, and professional activities.",Academic
American Pharmacists Association: University of Washington Student Chapter,"The American Pharmacists Association (APhA), established in 1852, is the largest pharmacy association in the United States, serving more than 62,000 members. APhA-ASP provides student pharmacists with opportunities for professional growth/development.",Professional Development
American Red Cross at UW,"The American Red Cross at UW is an affiliated chapter of the national humanitarian organization, focusing on emergency relief and disaster preparedness. Our RSO holds blood drives, CPR/First Aid training, disaster preparedness education, and more!",Academic
American Sign Language Club at University of Washington,"The American Sign Language Club at the University of Washington exists to promote the use of ASL in the UW community, enhance the linguistic skills of students who use ASL, and promote outreach with the Seattle Deaf Community.",Service/Volunteer
American Society for Microbiology - UW Chapter,"We are a student-led, Microbiology interest group open to all majors and a chapter of the American Society for Microbiology. The activities of the group change to reflect the interests of students who participate. Anyone interested is encouraged to join.",Arts/Creative
American Society of Civil Engineers UW Student Chapter,"We enhance the personal and professional development of civil/environmental engineering students and expose those students to the greater CEE world both professionally and academically. We also collaborate with and write reports for Concrete Canoe, Steel",Professional Development
American Society of Consultant Pharmacists,"ASCP is an international professional association that provides leadership, education, advocacy, and resources to advance the practice of consultant and senior care pharmacy.",Professional Development
American Society of Health-System Pharmacists,"The American Society of Health-System Pharmacists (ASHP) is one of the world's largest pharmacy organizations, and is at the forefront of the expanding role of a clinical pharmacist in the health-system pharmacy practice setting.",Pre-Health/Medical
"American Society of Landscape Architects, University of Washington Chapter","The purpose of the UW Chapter of the Society is the advancement of its members' knowledge, education, and skill in the art and science of landscape architecture as an instrument of service in the public welfare.",Academic
American Society of Mechanical Engineers - University of Washington Chapter,"Our mission is to promote peer relationships and professional engineering development for students in the Mechanical Engineering department. We plan community events, provide networking opportunities for students, commit to educational outreach.",Professional Development
"American Student Dental Association, UW Chapter","We foster a culture of unity, support, and excellence to enhance dental student life at the University of Washington School of Dentistry.",Pre-Health/Medical
American Water Resources Association UW Student Chapter,"To provide University of Washington students a chance for professional growth, learning, and connections in the hydrological sector and related fields.",Academic
Amnesty International UW,We campaign for a world where human rights are enjoyed by all.,International/Global
Anakbayan-UW,"National democratic mass organization for Filipino youth and students fighting for a genuinely sovereign and democratic homeland and society. We strive to uplift and empower youth, students, and workers in our fights for rights and dignity.",Political/Activism
Analog Club,"The Analog Club is dedicated to promoting the appreciation and understanding of analog technology. Our mission includes hosting educational workshops, exhibitions, and collaborative projects. We aim to create a community of enthusiasts and professionals",Hobbies/Interest
Analytical Investment Management Society,"The Analytical Investment Management Society (AIMS) is dedicated to bridging the realms of Informatics and Finance within the Foster School of Business. Our core purpose revolves around the fusion of data analytics, technology, and financial expertise.",Business/Entrepreneurship
Ancient Drama Club,We read and perform a selection of Ancient Greek and Roman plays to promote accessibility to dramatic literature in the ancient Mediterranean and foster discussion on ancient and current theatrical practices.,Hobbies/Interest
Anesthesia/Pain/Psychiatry/Neurology Interest Group at WWAMI Alaska,"To provide information and resources to Alaska WWAMI medical students in the fields of anesthesia, pain medicine, psychiatry, and neurology.",Pre-Health/Medical
Anesthesiology Interest Group,The Anesthesiology Interest Group aims to provide early anesthesiology exposure to UW medical students.,Pre-Health/Medical
Anime Discovery Project,"Educating about Japanese culture through visual media since 1991. We host weekly anime showings, and have a vibrant, welcoming community around anime and other Japanese media.",Service/Volunteer
Anime Nation at the University of Washington,"Anime Nation is an inclusive, friendly community dedicated to creating and promoting spaces for people who enjoy or are passionate about anime/otaku culture to befriend and socialize We host/help bring huge events to the UW/Seattle otaku community!",Service/Volunteer
Anti Cinema Cinema Club,"The club 💃🎊🕺 for laughing at 😂🤣 / loving 😍💋 so ""bad 😡👎 that it's good"" 🤗👍 movies 📽️🎬 <b>Possibly the only movie related club at UW</b> 😳 Certainly the best 🥵🔥💯 Instagram: https://www.instagram.com/acccuw Discord: discord.gg/M27",Engineering/Tech
Anti-AI AI Club,"AI reading group focused on inviting all voices, particularly non-STEM students, in AI, to provide their perspective on issues surrounding the emerging technology.",Engineering/Tech
Applied Analytics Club at University of Washington,"Analytics is a fast-growing discipline at the intersection of business, technology, economics and data science. The Applied Analytics Club intends to unite these disciplines. Join our Discord in the full description!!",Engineering/Tech
Applied Mathematics Club,"Applied Mathematics Club devotes building an active and inclusive community for people interested in applied math, computational finance, statistics, etc.",Hobbies/Interest
Arab Student Association at The University of Washington,The Arab Student Association at the University of Washington aims to unite and serve the Arab community on campus. The ASA shall act as a bridge between the Arab community and non-Arab community by educating the general popul,Engineering/Tech
Arabic Language and Culture Association at the University of Washington,The Arabic Language and Culture Association at UW strives to foster a vibrant and supportive community that encourages the use and appreciation of the Arabic language while celebrating the rich diversity and cultural heritage of the Arabic-speaking world,Cultural/Identity
Archaeology Club at the University of Washington&nbsp;,"To expand interest and experience within archeological fields, including educational and experimental excursions.&nbsp;",Hobbies/Interest
Armenian Student Association at the University of Washington,"The purpose of this organization is to promote Armenian culture at the University of Washington and form a community of students from all backgrounds who are interested in engaging with the culture, language, and life.",Service/Volunteer
ARMY ROTC at UW,"Affiliated with the UW Army ROTC, student ran organization",General Interest
Artificial Intelligence Student Collective @ UW,The AI Student Collective (AISC) is a global network of student organizations dedicated to providing accessible AI literacy through pre-professional programs and events. We work to create a more informed future in AI by leveraging industry connections.,Professional Development
Arts & Crafts Club,"Arts & Crafts Club is a club to gather a friendly group of people, united by the enjoyment of making any art or craft. We'll try to meet twice a month for two easy-going events where we will make crafts together or work on existing crafts!",Arts/Creative
Ascend at UW,Ascend UW enables aspiring leaders to connect with professionals and support Asian and Pacific Islander (API)* students in Business and STEM fields through professional and leadership development. *All identities are welcome.,Professional Development
ASHRAE Chapter at University of Washington,"We are a chapter of ASHRAE. The Society and its members focus on building systems, energy efficiency, indoor air quality, refrigeration, and sustainability within the industry. Through research, standards writing, publishing, and continuing education",Academic
Asian Alliance for Mental Health,We strive to promote discussions and de-stigmatize mental health within the Asian community through open dialogue and multimedia storytelling.,Pre-Health/Medical
Asian American Christian Fellowship,To reach into the collegiate community--primarily Asian Pacific Americans--with the life-changing message of Jesus Christ and give students a safe place to feel accepted and to belong to.,Cultural/Identity
Asian American Intervarsity Christian Fellowship,"Asian American Intervarsity is a Christian student fellowship on campus that seeks to create a safe space to grow, learn and live out faith through weekly bible studies, gatherings and community events.",Religious/Spiritual
Asian Business Student Association,ABSA is a student organization dedicated to empowering Asian American business students by providing a platform for resources and opportunities necessary to succeed in the professional world.,Business/Entrepreneurship
Asian cinema 24 hrs,"A24: Asian cinema 24/7 is a student-led film club dedicated to celebrating the rich and diverse world of Asian cinema. We host weekly screenings of films from across Asia, spanning different eras, genres, and cultures.",Arts/Creative
Asian Dental Student Association,"The Asian Dental Student Association (ADSA) at UW fosters community through philanthropy, social bonding, and professional connections. We offer DAT and research opportunity help, events, guest speakers, and networking with dentists and UW Dental School.",Service/Volunteer
Asian in Computing,"We aim to build a strong community of Asians interested in CS at the University of Washington, supporting both current students and those aspiring to enter.",Engineering/Tech
Asian Languages & Literature Graduate Student Association,We are the graduate Students at the Department of Asian Languages &amp; Literature. We provide a space of community for Asian languages &amp; literature graduate students to support each other in their academic and social lives.,Academic
Asian Nursing Student Association at University of Washington School of Nursing,"ANSA @ UWSON's mission is to empower nursing students who identify as Asian, Asian American, and/or Pacific Islander at the School of Nursing at UW. We hope to provide social, academic, and professional support for all levels of nursing students at UW.",Academic
Asian Pacific American Medical Student Association,Our mission is to represent Asian Pacific Islander American concerns and aspirations in the health care community at the University of Washington.,Pre-Health/Medical
Asian Pacific Student Dental Association at UW,"APSDA at UW is an officially recognized student organization dedicated to advancing supplemental dental education, clinical preparedness, and professional development among dental students.",Pre-Health/Medical
Asian Women in Basketball Association at UW,"We hold events, trainings, and competitions to encourage Asian women in sports, particularly basketball. These are completely recreational. We use AI as our coaches for both team and private trainings.",Cultural/Identity
Asian/Pacific American Law Student Association,"The Asian/Pacific American Law Student Association (APALSA) was formed to organize, support, and promote the concerns within Asian and Pacific Islander minorities in the legal profession and to increase ethnic diversity and representation in law school.",Cultural/Identity
Asians in Pre Health,"APH aims to empower and support Asian students pursuing careers in medicine, dentistry, nursing, and other healthcare fields.",Pre-Health/Medical
Asset Management at the University of Washington,"Our mission is to teach students about asset management. We will cover different types of assets, client goals, firms, as well as industry trends. We will also explore the difference between active and passive funds and learn how to form a portfolio.",Business/Entrepreneurship
Associated Students at the College of Education,"The Associated Students at the College of Education act on behalf of the student body of the College of Education (COE) in three chief ways. First, we aim to create a positive culture and atmosphere in the COE for all student",Academic
Associated Students in Construction,"As an umbrella organization, ASIC will engage students with various professional organizations in the construction industry to provide a foundation for development in education and professional skills. It will act as a student union for the CM major.",Professional Development
Associated Students of the University of Washington,We are the student government of the University of Washington.,Political/Activism
Association for Computing Education,We are a student organization focused on building a community around computing education.,Academic
Association for Research on Racial Justice at University of Washington,ARRJ at UW‘s mission is to empower a community of students committed to BIPOC advocacy by giving them opportunities to participate in meaningful research projects advancing the issues and under-considered needs of BIPOC communities.,Political/Activism
Association for Women in Mathematics Student Chapter at UW,"We are a student chapter of the Association for Women in Mathematics. Our goals are to increase knowledge and interest in the mathematical sciences and to encourage people, especially women, to pursue their interests in these fields.",Cultural/Identity
Association of Energy Engineers at the University of Washington,"The Association of Energy Engineers (AEE) at UW is a dedicated group for students interested in advancing energy efficiency, sustainable development, and renewable energy technologies.",Engineering/Tech
Association of Femmes in STEM,An RSO aimed at building community and providing professional development activities and opportunities for those gender minority students in STEM disciplines.,Professional Development
Association of Information Management Students,"To foster a diverse, positive, open and collaborative environment within the MSIM community, as well as to provide professional development and a great student experience to build future leaders in industry.",Professional Development
Association of Latino Professionals for America,ALPFA UW serves to enhance both the personal and professionals development of our members in their journey to becoming Leaders for Impact.,Professional Development
Association of Medical Specialties,"The goal of this organization is to help connect stem students at UW with various medical professionals. This organization will reach out to doctors and organizations, and conduct group interviews and field trips to their offices.",Pre-Health/Medical
Association of Native American Medical Students UW Chapter,"ANAMS UW Chapter shall, as an organization, function to aid its members in the successful completion of their graduate health professions curricula.",Pre-Health/Medical
Association of Nigerian Scholars at the University of Washington,"The Association of Nigerian Scholars at the University of Washington (ANS@UW) supports Nigerian scholars at the University of Washington's Seattle campus, including postdoctoral fellows, non-student fellows, graduate students, and undergraduate student",Academic
Association of Women Surgeons University of Washington School of Medicine Chapter,"The Association of Women Surgeons is dedicated to the mission of inspiring and supporting women in all stages of medical training and to inspire, encourage, and enable female surgeons to achieve their personal and professional goals.",Pre-Health/Medical
Astronomy Undergraduate Engineering Group,Exploring Engineering through Astronomy,Engineering/Tech
ASUW American Indian Student Commission,AISC advocates for Indigenous RSOs and students,Engineering/Tech
ASUW Arts and Entertainment,Major events programming arm of the ASUW,Engineering/Tech
ASUW Asian Student Commission,We advocate for Asian cultural/international RSOs and students at UW,Cultural/Identity
ASUW Bike Shop,"Bicycle repair shop for UW students, faculty, and staff, run by Your student government!",Engineering/Tech
ASUW Black Student Commission,Advocates for African and African American RSO's and students on campus.,Cultural/Identity
ASUW Elections Administration Committee,"The ASUW Elections Administration Committee is charged with overseeing annual student body elections for the 8 positions on the Board of Directors, and any initiatives/referenda referred to a vote by the UW student body.",General Interest
ASUW Gender Equity Commission,"Dedicated to uplifting a culture of gender equity that is informed, equitable, and affirming for all UW community members who experience misogyny.",Service/Volunteer
ASUW Latine Student Commission,Advocate for Latinx students on campus,General Interest
ASUW Middle Eastern Student Commission,"ASUW MESC is committed to serving, celebrating, and advocating for Middle Eastern Students at UW, as well as creating a safe space for students who need physical or emotional support both on and off campus.",Cultural/Identity
ASUW Office of Government Relations,"Lobbying and advocacy entity for ASUW, Your student government!",Political/Activism
ASUW Office of Inclusive Design,ASUW Office of Inclusive Design,Arts/Creative
ASUW Office of International Student Advocacy,Office of International Student Advocacy within ASUW Student Government,Political/Activism
ASUW Office of Student Health Relations,The Office of Student Health Relations is a group of students who provide a meaningful resource to health-oriented student groups (RSOs) and to promote student health and wellness on campus through education and advocacy.,Academic
ASUW Pacific Islander Student Commission,Advocate for PI RSO's and students on campus.,General Interest
ASUW Queer Student Commission,"Advocate for LGBTQ+ RSO's and students on campus. ASUW QSC works through programming, policy, and community advocacy to support and elevate the queer student voices on campus.",Cultural/Identity
ASUW RainyDawg Radio,Student-run radio station,Engineering/Tech
ASUW Senate,"The official opinion-making body of the ASUW, Your Student Government.",Political/Activism
ASUW Sexual Assault and Relationship Violence Activists,Sexual Assault and Relationship Violence Activists,General Interest
ASUW Student Disability Commission,Advocate for students with disabilities on campus.,General Interest
ASUW Student Food Co-operative,advocate for sustainable food practices,Engineering/Tech
Asylum Evaluation Student Clinic at University of Washington School of Medicine,"In partnership with International Rescue Committee, a non-profit that works to support asylum seekers, AESC strives to provide an accessible location for safe, confidential, and trauma-informed evaluations.",Pre-Health/Medical
Aura Dance Company at the University of Washington,"Aura is a student-led community of dancers at UW. We perform primarily jazz, contemporary and modern pieces, all student-choreographed. We hold auditions for new members each fall quarter. See @auradancecompany on instagram for more information",Arts/Creative
Automobile Association at University of Washington,"To provide a platform where people who own cars, like cars, or want cars can talk about their favorite cars, maintain their cars, or get advices regarding any aspects of cars. We want to actually help car owners mechanically",Engineering/Tech
Autonomous Aerial Vehicle Club,AAVC's mission is to educate engineering students at the University of Washington in autonomous aerial vehicles through hands-on projects and collegiate competitions.,Engineering/Tech
AutoStringer at UW,"AutoStringer is a fully autonomous tennis-racket stringing robot that uses AI-powered vision, precision motors, and adaptive control to weave, tension, and tie strings—revolutionizing how rackets are strung and redefining sports robotics.",Sports/Recreation
AVELA- A Vision for Engineering Literacy and Access,An opportunity to gain hands on experience developing and presenting STEM activities to students.,Engineering/Tech
Aviation Club @ UW,The Aviation Club at UW is dedicated to fostering a vibrant and inclusive community for students passionate about aviation and aerospace. Our mission is to create an engaging environment where members of all experience levels can explore aviation.,Service/Volunteer
Awaaz at UW,Awaaz is a South-Asian fusion a cappella group which takes songs from South-Asian and Western culture and creates harmonious arrangements of all varieties.,Cultural/Identity
AYUDH UW Chapter,"AYUDH is an international youth movement mobilizing young people to lead in perpetuating natural harmony, social justice, and community empowerment.",Service/Volunteer
Azerbaijani Student Association,"Azerbaijani Association fosters community among UW students of Azerbaijani heritage and interest. We celebrate Azerbaijani culture through events, language practice, and campus-wide educational activities.",Academic
Baha'i Club at UW,"The Baha'i club at UW aims to promote the principles and teachings of the Baha'i Faith through its campus activities. Our activities center around the oneness of humanity, the harmony of science and religion, and the basic oneness of humanity.",Engineering/Tech
Barbell Club at the University of Washington,"We are an all-inclusive gym community at UW Seattle. Open to all weight training disciplines and skill levels, we are a recreational, non-competitive RSO whose goal is to build a community and connect with other students interested in health and fitness.",Sports/Recreation
Bartering Club at UW,"The goal of Bartering Club is to promote sustainability, reuse, and mutual support in a community-centered space, as well as to reduce the impacts of budget cuts by finding community-driven solutions.",Engineering/Tech
Batman's Kitchen,"We are a welcoming community for students at the University of Washington to foster their interest, knowledge, and skills in computer security and privacy through mentoring and practical, hands-on activities.",Engineering/Tech
BeautifyUdub,"BeautifyUdub is en environmental and community service RSO at the University of Washington, Seattle campus that prioritizes first-year leadership, minimizing climate anxiety, and promotes volunteering!",Service/Volunteer
Beekeeping Club at University of Washington,"BEE cool, hang out with the bees!! We have 3 hives located at the UW farm. Looking forward to harvesting honey and wax this spring! Beekeeping club aims to provide beekeeping related education, formal/informal classes, and research opportunities.",Academic
Bengali Students Association,"The Bengali Students Association (BSA-UW) is a student group promoting unity, friendship, and awareness among Bengali and non-Bengali students here at the University of Washington.",General Interest
Best Buddies,"Best Buddies is the world's largest organization dedicated to the inclusion of individuals with intellectual and developmental disabilities (IDD). Our programs focus on friendship, leadership development, integrated living and employment opportunities.",Professional Development
Beta Alpha Psi,"Beta Alpha Psi is an honorary and professional organization for Accounting, Finance, and Information Systems majors.",Greek Life
Beta Beta Beta Biological Honor Society,"Tribeta is an honorary society for biology students. Tribeta seeks to stimulate interest, scholarly attainment, and investigation into the biological sciences while fostering community within the Biology Department.",Academic
Bhakti Yoga Club @ UW,"Bhakti Yoga Club is a family for people practicing Intentional Living, Conscious Eating & Mindful Co-existence. We provide a support system for members to develop good personality traits and become leaders through Yoga, Meditation & Social Service.",Engineering/Tech
Biochemistry Undergraduate Reading Program,"To empower undergraduate students to hone their critical thinking skills and learn research software tools by reading the biochemical scientific literature, either with a graduate mentor and/or in community with their peers through a journal club.",Academic
Bioengineering Graduate Student Association,To provide graduate students in the Bioengineering and affiliated departments with a venue in which to interact socially and professionally to grow academic and professional networks.,Professional Development
Bioengineers Without Borders,"Develop low-cost, sustainable medical technologies while providing students with engineering design experience and professional development",Engineering/Tech
BioExplore at UW,"BioExplore is an organization aimed at connecting undergraduate students to research in STEM fields, with a focus on bioengineering. Our events include lab tours, mentorship programs, and fun socials! Instagram: @uw_bioexplore.",Engineering/Tech
Biology Students for Equity,It shall be the purpose of this organization to create a space for students of all identities in the biology department to promote equity and inclusion within the department.,Arts/Creative
Biomedical Engineering Society at the University of Washington Student Chapter,BMES at UW provides events and resources for bioengineering students that focus on social engagement and professional development. All UW students are welcome to attend our peer advising sessions and outreach events.,Professional Development
Biomedical Science: Regulatory & Clinical Affairs Society,"BSRC unites students and professionals in biomedical sciences, focusing on regulatory and clinical affairs. We foster community, knowledge-sharing, and career growth through peer learning, mentorship, and guests (field experts) insights.",Pre-Health/Medical
Bird Buddies,Bird live. Bird laugh. Bird love. Birdwatch.,General Interest
